timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2
2.104166667,5.202076542,5.886416573,1.14816645,0.115777674,0.072961692,15.65501115,,,,
2.114583333,5.147374242,5.825790634,1.056362062,0.112080546,0.077025438,15.68239947,,,,
2.125,5.113652328,5.7691082,1.005192526,0.112301438,0.081399404,15.69760958,,,,
2.135416667,4.953141609,5.73050168,0.794536976,0.093570525,0.085936614,15.76904393,,,,
2.145833333,4.82550722,5.667267175,0.696123124,0.092758687,0.092079291,15.82970589,,,,
2.15625,4.738394055,5.596152877,0.652425132,0.095591174,0.098624976,15.87158277,,,,
2.166666667,4.679804405,5.524977622,0.633300504,0.099813019,0.105305238,15.89907346,,,,
2.177083333,4.75050591,5.490366164,0.514274715,0.096352022,0.112784877,15.87031,,,,
2.1875,4.803549818,5.467598431,0.476563754,0.100271853,0.120924356,15.84353255,,,,
2.197916667,4.842974655,5.45473901,0.471329286,0.106017476,0.129176587,15.82147683,,,,
2.2083333,4.872035386,5.448729122,0.477592432,0.112316881,0.137302055,15.80529439,,,,
2.21875,4.848925694,5.452851858,0.425662648,0.115015652,0.145976147,15.80712778,,,,
2.229166667,4.821004267,5.450805321,0.417959322,0.12099121,0.154709169,15.81575772,,,,
2.239583333,4.79959871,5.445716473,0.424111708,0.127735408,0.163219839,15.82345359,,,,
2.25,4.783921943,5.439023109,0.433443711,0.134432828,0.171334727,15.82904344,,,,
2.260416667,4.894871196,5.443007553,0.422949863,0.139736524,0.179324719,15.7727289,,,,
2.270833333,4.976841122,5.45756903,0.42750753,0.145779011,0.186917399,15.72729486,,,,
2.28125,5.036143292,5.478572243,0.437036913,0.151828844,0.194021758,15.69451222,,,,
2.291666667,5.079237808,5.503044212,0.447821305,0.157555315,0.20057017,15.67189607,,,,
2.302083333,5.431971232,5.547702395,0.510313229,0.166073253,0.205730255,15.50213873,,,,
2.3125,5.700853508,5.630048921,0.542606235,0.171557837,0.210038081,15.36275081,,,,
2.322916667,5.895400451,5.73192274,0.566730683,0.175591476,0.213619706,15.26447149,,,,
2.3333333,6.036498559,5.84218382,0.589559246,0.179076038,0.216657355,15.19496663,,,,
2.34375,6.817282051,6.042013205,0.829485813,0.203309347,0.21695242,14.82466891,,,,
2.354166667,7.389808992,6.33842963,0.977950535,0.218017502,0.21588773,14.53537266,,,,
2.364583333,7.783980512,6.668314405,1.102629347,0.228375837,0.213710881,14.34522772,,,,
2.375,8.055935308,6.997540888,1.224322942,0.238387056,0.21130486,14.21962154,,,,
2.385416667,9.43823228,7.643098891,1.962138237,0.381941283,0.217907667,13.61523666,,,,
2.395833333,10.35893903,8.457459176,2.583734921,0.527699483,0.228230489,13.20412586,,,,
2.40625,10.9271139,9.24771707,3.188455926,0.689427203,0.241858236,12.97830219,,,,
2.416666667,11.27831828,9.938906426,3.782609615,0.877307964,0.262116939,12.85214011,,,,
2.427083333,12.56520474,10.97161161,5.232148943,1.638805972,0.434956497,12.452412,,,,
2.4375,13.34909879,12.03944756,6.45927426,2.464968816,0.687460822,12.22494879,,,,
2.447916667,13.79925286,12.91803145,7.536492435,3.319499465,1.021708251,12.11783291,,,,
2.4583333,14.08279244,13.58450328,8.453426318,4.161575268,1.435335369,12.06083966,,,,
2.46875,14.70330998,14.23639542,9.525443925,5.283599275,2.151388207,11.95001209,,,,
2.479166667,15.16776072,14.85775884,10.37121309,6.272494393,2.918103652,11.86978156,,,,
2.489583333,15.54400814,15.386156,11.06619839,7.121019354,3.678166066,11.81531636,,,,
2.5,15.88821544,15.83711947,11.64434079,7.840698201,4.393004894,11.76952717,,,,
2.510416667,16.41683286,16.295035,12.17162805,8.483374046,5.073295187,11.70480127,,,,
2.520833333,16.85170208,16.76549107,12.65402216,9.037578924,5.678859656,11.65406801,,,,
2.53125,17.22100014,17.20257489,13.10545803,9.530216569,6.215916199,11.61593943,,,,
2.541666667,17.54461426,17.59694592,13.52336449,9.97625059,6.695481432,11.58164693,,,,
2.552083333,17.74861511,17.91988027,13.80305285,10.26866445,7.017884335,11.56825775,,,,
2.5625,17.9357611,18.17833367,14.07924024,10.54341229,7.306462821,11.55479811,,,,
2.572916667,18.11175288,18.40274173,14.3338052,10.80207277,7.57037103,11.53813647,,,,
2.5833333,18.27257817,18.60260804,14.56337842,11.04236964,7.814132944,11.52194797,,,,
2.59375,17.98117739,18.67045411,14.63442996,11.12753709,7.912459165,11.53551928,,,,
2.604166667,17.82286742,18.6040339,14.66610674,11.19520403,7.99541026,11.5453816,,,,
2.614583333,17.76019245,18.52130316,14.64815348,11.23089114,8.059065472,11.5467525,,,,
2.625,17.74470401,18.4586393,14.60296065,11.23172392,8.097201076,11.5444877,,,,
2.635416667,17.3405478,18.335356,14.42804557,11.07879609,7.986942241,11.57946552,,,,
2.645833333,17.07459476,18.11885629,14.25138727,10.91728762,7.857096862,11.60862001,,,,
2.65625,16.90619831,17.9043724,14.05915407,10.74443836,7.711375934,11.62347176,,,,
2.666666667,16.7883273,17.7196915,13.86441693,10.5613028,7.551596683,11.63365867,,,,
2.677083333,16.35356622,17.50109479,13.60543932,10.30055205,7.312493111,11.6896135,,,,
2.6875,16.04830064,17.22110987,13.35134035,10.04440137,7.06865968,11.73428138,,,,
2.697916667,15.83116435,16.95084853,13.0930706,9.790090133,6.823491295,11.76426682,,,,
2.7083333,15.6626652,16.71158004,12.84058513,9.537900379,6.578665988,11.78559854,,,,
2.71875,15.1840287,16.44703268,12.52344932,9.212157615,6.263455846,11.86304615,,,,
2.729166667,14.83647221,16.12409323,12.21947063,8.900226232,5.955629783,11.92803874,,,,
2.739583333,14.58172474,15.81164108,11.91683719,8.598295645,5.657508353,11.97537334,,,,
2.75,14.38067451,15.53148864,11.62338642,8.304900695,5.36946303,12.01236281,,,,
2.760416667,13.70284417,15.16987484,11.35733303,8.048733351,5.117559984,12.15928289,,,,
2.770833333,13.25178465,14.73671712,11.04437579,7.786694347,4.873355996,12.27965629,,,,
2.78125,12.94813743,14.3283982,10.69849994,7.506647735,4.630218329,12.36317523,,,,
2.791666667,12.73055783,13.97663841,10.34860409,7.20988822,4.382710988,12.42298998,,,,
2.802083333,12.05623851,13.55632787,10.04804744,6.959124376,4.180375655,12.62200427,,,,
2.8125,11.6307612,13.09115543,9.694534747,6.686394718,3.968835527,12.77276277,,,,
2.822916667,11.35819751,12.67416828,9.314754778,6.386238369,3.743874274,12.87214738,,,,
2.8333333,11.16982201,12.33003073,8.943225932,6.067381473,3.50398966,12.940851,,,,
2.84375,10.48104444,11.9257956,8.596213846,5.756646334,3.2645845,13.1943001,,,,
2.854166667,10.05415911,11.4642229,8.217391278,5.437049019,3.017660586,13.37774318,,,,
2.864583333,9.784602258,11.05015188,7.823132126,5.10325373,2.763905675,13.49278749,,,,
2.875,9.5982403,10.70916662,7.444311782,4.762500703,2.504746534,13.57239399,,,,
2.885416667,8.885518683,10.30714061,7.075797798,4.419464697,2.239215959,13.86423889,,,,
2.895833333,8.442297447,9.836625464,6.682691365,4.078281459,1.978655063,14.07167693,,,,
2.90625,8.164089751,9.411178235,6.275911821,3.730824815,1.722723775,14.20193593,,,,
2.916666667,7.973314436,9.060500422,5.885521595,3.381732111,1.471764677,14.29006326,,,,
2.927083333,7.531519329,8.72221012,5.493235588,3.011569551,1.208777818,14.48790994,,,,
2.9375,7.242415329,8.371490068,5.126592702,2.664138402,0.970258768,14.62900726,,,,
2.947916667,7.048457702,8.063068582,4.783845383,2.341261448,0.763222629,14.72227034,,,,
2.9583333,6.908134783,7.807957343,4.474890555,2.047230329,0.592125164,14.78955024,,,,
2.96875,6.63469865,7.570619322,4.177392146,1.765080654,0.447356807,14.91517221,,,,
2.979166667,6.454053747,7.335275781,3.913109656,1.522824168,0.341886846,15.00470604,,,,
2.989583333,6.335767962,7.132076469,3.676840635,1.317751217,0.267272534,15.0627076,,,,
3,6.25613668,6.967274272,3.471339959,1.147511261,0.214997126,15.10161654,,,,
3.010416667,5.960875247,6.82485064,3.097742532,0.860670658,0.138913318,15.24850372,,,,
3.020833333,5.76631334,6.641141096,2.820361972,0.660597228,0.105317113,15.35391437,,,,
3.03125,5.650282665,6.467325607,2.597466892,0.530294614,0.090100654,15.41318384,,,,
3.041666667,5.581398228,6.319811499,2.415938863,0.446404828,0.082733225,15.44609471,,,,
3.052083333,5.509236029,6.225374539,2.090212811,0.308156574,0.070929778,15.49153746,,,,
3.0625,5.458503732,6.13406556,1.873466078,0.241781857,0.06876441,15.52177984,,,,
3.072916667,5.429256043,6.056763951,1.726702531,0.210671608,0.069308535,15.53783166,,,,
