timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,,
1.25,1.710254487,0.249298593,0.188982623,0.21632553,0.252387958,18.06960898,18.90523869,18.97578501,18.99161368,18.11382504,,,,,,,,,,,,,,,,,,,,
1.260416667,1.784085027,0.248973009,0.192080856,0.220025578,0.255777394,18.03121675,18.90584267,18.97501401,18.99167061,18.12705587,,,,,,,,,,,,,,,,,,,,
1.270833333,1.82636433,0.253956462,0.195165566,0.223182003,0.258590292,18.013395,18.90293566,18.97433015,18.99143321,18.14075641,,,,,,,,,,,,,,,,,,,,
1.28125,1.848284639,0.257415637,0.197703245,0.225809735,0.260900218,18.00071831,18.90189029,18.97397949,18.99126269,18.15334839,,,,,,,,,,,,,,,,,,,,
1.291666667,1.859445339,0.259208531,0.199563019,0.2279157,0.262753896,17.99772545,18.90175208,18.97375152,18.99130536,18.16415108,,,,,,,,,,,,,,,,,,,,
1.302083333,2.175607495,0.290164021,0.20221233,0.22908581,0.26374295,17.83463428,18.88296473,18.97241633,18.99108027,18.17188997,,,,,,,,,,,,,,,,,,,,
1.3125,2.36901612,0.313676208,0.204158524,0.229827475,0.264477888,17.74707542,18.87364405,18.97231786,18.99126373,18.17797607,,,,,,,,,,,,,,,,,,,,
1.322916667,2.481403669,0.327241576,0.204880582,0.230114572,0.264910094,17.68688315,18.86844195,18.97263417,18.99146307,18.18296846,,,,,,,,,,,,,,,,,,,,
1.3333333,2.546846066,0.334332402,0.204669393,0.230014676,0.265069157,17.6513753,18.86497351,18.97276512,18.99160775,18.18745193,,,,,,,,,,,,,,,,,,,,
1.34375,3.322785255,0.474949536,0.214761809,0.228334892,0.263272659,17.26247084,18.78506873,18.9656597,18.99100307,18.18605207,,,,,,,,,,,,,,,,,,,,
1.354166667,3.79839309,0.583412492,0.223483678,0.226449466,0.261548319,17.04643552,18.73913693,18.96422705,18.99153577,18.18460651,,,,,,,,,,,,,,,,,,,,
1.364583333,4.080170982,0.654854699,0.227624898,0.223724499,0.259517882,16.90427327,18.70567313,18.96390402,18.99233457,18.18549211,,,,,,,,,,,,,,,,,,,,
1.375,4.248217739,0.699464884,0.22814964,0.220293523,0.257172372,16.81849185,18.68266799,18.96303011,18.99274994,18.18820549,,,,,,,,,,,,,,,,,,,,
1.385416667,5.756872861,1.267854742,0.313804129,0.222200445,0.250729475,16.10453856,18.41371528,18.92229718,18.98711043,18.16120778,,,,,,,,,,,,,,,,,,,,
