timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
1.072916667,5.551822573,3.249498085,1.905032956,0.077102776,0.002689398,15.41415768,16.56949167,17.21356168,18.83491121,17.87947385,,,,,,,,,,,,,,,,,,,
1.0833333,5.529533818,3.196014634,1.832258494,0.062521161,0.00260522,15.4178551,16.59519091,17.25039847,18.83863913,17.913593,,,,,,,,,,,,,,,,,,,
1.09375,5.400838492,3.005993366,1.68365544,0.015484214,0.002498002,15.48020432,16.68389366,17.31619828,18.88337242,17.95423707,,,,,,,,,,,,,,,,,,,
1.104166667,5.301105959,2.862493644,1.560234357,0.009034232,0.002454024,15.53336579,16.75751633,17.37538988,18.86165266,17.98912941,,,,,,,,,,,,,,,,,,,
1.114583333,5.235326708,2.758308232,1.46176034,0.006823682,0.002425996,15.56289168,16.81029494,17.42300722,18.85898971,18.01784648,,,,,,,,,,,,,,,,,,,
1.125,5.191713191,2.684101817,1.385686101,0.005757177,0.002411676,15.57829778,16.84544691,17.45976393,18.85423942,18.04202869,,,,,,,,,,,,,,,,,,,
1.135416667,5.0200285,2.493590296,1.254117002,0.004173443,0.002393569,15.65345546,16.93335042,17.51824765,18.87510179,18.08445855,,,,,,,,,,,,,,,,,,,
1.145833333,4.884012155,2.342553305,1.14427376,0.003701226,0.002378153,15.71921374,17.00756986,17.57027506,18.85232342,18.12646999,,,,,,,,,,,,,,,,,,,
1.15625,4.790032149,2.227142502,1.054990657,0.003414803,0.002369419,15.76057142,17.06324322,17.61252453,18.8604114,18.12523597,,,,,,,,,,,,,,,,,,,
1.166666667,4.725380314,2.140826541,0.984187758,0.003241145,0.002366219,15.78664301,17.10415393,17.64611498,18.85577138,18.10118177,,,,,,,,,,,,,,,,,,,
1.177083333,4.788815725,2.001024261,0.887040989,0.002971901,0.002363109,15.76413969,17.1698262,17.68994455,18.86622732,18.09345553,,,,,,,,,,,,,,,,,,,
1.1875,4.834459965,1.916256662,0.811360826,0.002858619,0.002361316,15.74561582,17.21269286,17.7261269,18.85608779,18.08899263,,,,,,,,,,,,,,,,,,,
1.197916667,4.866541749,1.866324544,0.75563082,0.002784217,0.002363333,15.73518589,17.2354282,17.75223301,18.85967965,18.0893922,,,,,,,,,,,,,,,,,,,
